date,type,category,amount,currency
2024-12-21,Expense,Entertainment,3137.47,CNY
2024-11-26,Income,Bonus,1180.12,CNY
2024-11-10,Income,Investment,762.64,EUR
2024-12-28,Income,Rent,330.5,EUR
2024-11-12,Expense,Utilities,320.71,EUR
2024-11-19,Income,Utilities,2390.13,CNY
2024-11-08,Expense,Utilities,2695.72,CAD
2024-12-02,Income,Bonus,2184.82,USD
2024-11-19,Expense,Utilities,3623.67,EUR
2024-10-17,Income,Utilities,2963.54,USD
2024-10-11,Expense,Investment,4335.59,CAD
2024-10-07,Expense,Utilities,1643.49,EUR
2024-11-11,Expense,Utilities,1398.5,EUR
2024-11-02,Income,Entertainment,106.72,USD
2024-11-14,Income,Groceries,3908.35,USD
2024-10-04,Income,Rent,4197.75,CAD
2024-10-31,Income,Entertainment,3350.6,CAD
2024-11-29,Expense,Travel,847.27,USD
2024-10-21,Expense,Groceries,2897.64,CNY
2024-12-13,Expense,Utilities,4707.94,CAD
2024-10-10,Income,Groceries,3488.99,CNY
2024-12-27,Income,Salary,1742.55,EUR
2024-12-24,Expense,Groceries,2534.74,CNY
2024-10-02,Expense,Entertainment,536.64,CNY
2024-12-21,Expense,Investment,2183.08,CNY
2024-12-18,Expense,Entertainment,2183.52,CNY
2024-11-11,Income,Groceries,1401.85,EUR
2024-11-01,Expense,Utilities,1688.62,EUR
2024-11-11,Income,Entertainment,1068.48,CNY
2024-11-13,Expense,Bonus,2783.4,CAD
2024-10-11,Income,Utilities,2448.0,CAD
2024-12-28,Expense,Entertainment,2246.39,USD
2024-10-12,Expense,Rent,2027.96,CAD
2024-11-09,Expense,Entertainment,2771.83,CNY
2024-11-24,Expense,Travel,3517.25,CNY
2024-11-09,Expense,Rent,612.07,CAD
2024-11-10,Income,Investment,965.79,EUR
2024-11-05,Expense,Groceries,4164.82,CNY
2024-10-30,Expense,Investment,1518.32,CAD
2024-11-05,Income,Salary,2771.26,CAD
2024-12-21,Expense,Groceries,4364.87,CNY
2024-11-30,Expense,Entertainment,1710.12,USD
2024-11-02,Expense,Groceries,4112.36,EUR
2024-12-02,Income,Salary,767.12,CNY
2024-10-11,Income,Groceries,2794.78,EUR
2024-12-17,Income,Utilities,2258.07,EUR
2024-11-08,Expense,Bonus,2847.46,USD
2024-12-18,Income,Rent,3131.32,CNY
2024-12-24,Income,Investment,1206.93,USD
2024-10-21,Income,Utilities,2258.01,EUR
2024-11-07,Income,Rent,1447.64,CNY
2024-12-29,Expense,Groceries,3440.05,CNY
2024-12-20,Income,Utilities,582.73,CAD
2024-12-22,Income,Bonus,4134.89,USD
2024-10-08,Income,Bonus,2979.27,CNY
2024-11-26,Income,Entertainment,3446.5,EUR
2024-11-04,Expense,Entertainment,411.4,USD
2024-11-25,Expense,Bonus,139.07,CAD
2024-12-26,Income,Bonus,2885.47,CAD
2024-11-30,Expense,Bonus,915.63,EUR
2024-12-21,Expense,Groceries,2355.35,EUR
2024-11-12,Expense,Groceries,4290.09,CNY
2024-11-22,Expense,Bonus,3316.29,EUR
2024-12-10,Income,Entertainment,449.42,CNY
2024-11-11,Income,Utilities,4325.9,USD
2024-12-24,Expense,Utilities,280.48,CNY
2024-12-19,Expense,Entertainment,3802.35,CAD
2024-11-04,Income,Bonus,2196.2,EUR
2024-10-16,Income,Rent,3551.82,CNY
2024-12-10,Income,Utilities,475.11,USD
2024-11-29,Income,Investment,2496.89,CNY
2024-12-05,Expense,Utilities,4175.27,EUR
2024-11-01,Expense,Investment,1924.09,CAD
2024-10-09,Expense,Utilities,1705.98,CNY
2024-10-01,Expense,Bonus,4189.0,EUR
2024-10-20,Expense,Entertainment,1732.17,EUR
2024-11-28,Expense,Rent,4904.07,CAD
2024-12-13,Expense,Rent,4281.5,EUR
2024-10-06,Expense,Entertainment,3529.09,EUR
2024-11-19,Income,Entertainment,4824.47,CAD
2024-12-04,Expense,Groceries,4372.21,EUR
2024-10-13,Expense,Salary,3614.99,EUR
2024-12-23,Income,Groceries,2352.76,CNY
2024-11-13,Expense,Groceries,4260.31,EUR
2024-11-10,Expense,Salary,3091.12,CAD
2024-12-20,Expense,Rent,3736.36,EUR
2024-10-13,Income,Entertainment,840.16,CNY
2024-10-04,Income,Travel,3982.76,CNY
2024-11-15,Expense,Utilities,736.39,EUR
2024-12-12,Income,Investment,883.6,EUR
2024-12-19,Income,Entertainment,4565.02,CAD
2024-10-30,Expense,Bonus,2303.26,USD
2024-11-29,Expense,Investment,378.57,CNY
2024-12-15,Expense,Utilities,3454.66,EUR
2024-11-08,Income,Utilities,4268.14,USD
2024-10-31,Expense,Travel,2878.31,CNY
2024-10-03,Expense,Bonus,50.41,USD
2024-12-17,Expense,Bonus,3880.95,CAD
2024-12-17,Expense,Rent,3186.72,CNY
2024-12-26,Income,Groceries,4517.98,USD
2024-12-09,Income,asd,11111.00,CAD
2024-12-13,Income,test 2,30000.00,CAD
2024-12-09,Expense,test33,6292.00,CNY
2024-12-09,Income,test4,2181.60,GBP
